State,Dem,Rep,Date,Pollster
AK,31.73,28.39,Sep 09 2016,Google Consumer Surveys
AK,44.1,49.3,May 31 2016,IvanMooreResearch
AL,36,55,Nov 08 2016,SurveyMonkey
AL,20.23,60.67,Nov 07 2016,Google Consumer Surveys
AL,38.06,54.15,Nov 07 2016,IPSOS
AL,31.6,52.6,Nov 07 2016,YouGov
AL,36,54,Nov 07 2016,SurveyMonkey
AL,20.38,56.12,Nov 01 2016,Google Consumer Surveys
AL,38.93,51.28,Oct 29 2016,IPSOS
AL,38.37,55.07,Nov 04 2016,IPSOS
AL,33,57,Aug 02 2016,Strategy Research
AL,22.36,56.83,Oct 27 2016,Google Consumer Surveys
AL,36,54,Nov 05 2016,SurveyMonkey
AL,38.4,52.39,Oct 22 2016,IPSOS
AL,36,53,Oct 28 2016,SurveyMonkey
AL,23.68,53.37,Oct 21 2016,Google Consumer Surveys
AL,36,52,Nov 04 2016,SurveyMonkey
AL,35,53,Nov 03 2016,SurveyMonkey
AL,36.51,56.76,Oct 10 2016,IPSOS
AL,37,52,Nov 02 2016,SurveyMonkey
AL,35,55,Nov 01 2016,SurveyMonkey
AL,36,52,Oct 27 2016,SurveyMonkey
AL,19.61,54.78,Oct 17 2016,Google Consumer Surveys
AL,36,54,Oct 31 2016,SurveyMonkey
AL,37.02,55.52,Oct 03 2016,IPSOS
AL,22.51,53.8,Oct 10 2016,Google Consumer Surveys
AL,39.35,53.12,Sep 26 2016,IPSOS
AL,31,53,Sep 06 2016,SurveyMonkey
AL,36,52,Oct 26 2016,SurveyMonkey
AL,19.45,56.59,Oct 05 2016,Google Consumer Surveys
AL,29.18,48.39,Sep 28 2016,Google Consumer Surveys
AL,40.11,52.94,Sep 16 2016,IPSOS
AL,18.35,55.11,Sep 22 2016,Google Consumer Surveys
AL,42.33,50.6,Sep 10 2016,IPSOS
AL,19.02,56.78,Sep 14 2016,Google Consumer Surveys
AL,39.39,51.54,Sep 04 2016,IPSOS
AL,21.28,55.58,Sep 09 2016,Google Consumer Surveys
AL,42.06,48.14,Aug 26 2016,IPSOS
AL,17.11,56.17,Sep 09 2016,Google Consumer Surveys
AL,36.3,54.53,Aug 24 2016,IPSOS
AL,17.97,56.78,Sep 09 2016,Google Consumer Surveys
AL,19.55,54.53,Sep 09 2016,Google Consumer Surveys
AL,32,68,Aug 16 2016,Strategy Research
AL,41.23,53.27,Nov 03 2016,IPSOS
AL,38.3,53.84,Oct 15 2016,IPSOS
AR,32,56,Nov 08 2016,SurveyMonkey
AR,31.3,51.1,Nov 02 2016,UofArkansas
AR,32.5,56,Oct 25 2016,HendrixColl
AR,38.14,53.35,Nov 07 2016,IPSOS
AR,30.81,46.85,Nov 07 2016,Google Consumer Surveys
AR,30.5,48,Nov 07 2016,YouGov
AR,34,55,Nov 07 2016,SurveyMonkey
AR,29,57,Sep 15 2016,Emerson College
AR,31.49,36.09,Nov 01 2016,Google Consumer Surveys
AR,34,55,Sep 22 2016,HendrixColl
AR,36.72,38.33,Oct 27 2016,Google Consumer Surveys
AR,37.33,52.4,Nov 03 2016,IPSOS
AR,34.03,53.17,Oct 29 2016,IPSOS
AR,27.32,44.58,Oct 21 2016,Google Consumer Surveys
AR,34,55,Nov 05 2016,SurveyMonkey
AR,36,52,Oct 28 2016,SurveyMonkey
AR,34,55,Nov 04 2016,SurveyMonkey
AR,34.43,52.7,Oct 22 2016,IPSOS
AR,36,53,Nov 03 2016,SurveyMonkey
AR,34.43,38.13,Oct 17 2016,Google Consumer Surveys
AR,35.6,52.44,Oct 15 2016,IPSOS
AR,34,53,Oct 27 2016,SurveyMonkey
AR,38,52,Nov 02 2016,SurveyMonkey
AR,39,52,Nov 01 2016,SurveyMonkey
AR,37,53,Oct 31 2016,SurveyMonkey
AR,34.69,40.24,Oct 10 2016,Google Consumer Surveys
AR,37.87,53.01,Oct 10 2016,IPSOS
AR,33,54,Oct 26 2016,SurveyMonkey
AR,41.3,49.92,Oct 03 2016,IPSOS
AR,29.66,45.44,Oct 05 2016,Google Consumer Surveys
AR,37,46,Sep 06 2016,SurveyMonkey
AR,41.08,49.15,Sep 26 2016,IPSOS
AR,28.09,45.52,Sep 28 2016,Google Consumer Surveys
AR,36.41,35.42,Sep 22 2016,Google Consumer Surveys
AR,41.34,51.28,Sep 16 2016,IPSOS
AR,36,47,Jun 26 2016,HendrixColl
AR,34.5,35.13,Sep 14 2016,Google Consumer Surveys
AR,41.42,49.8,Sep 10 2016,IPSOS
AR,33.78,40.6,Sep 09 2016,Google Consumer Surveys
AR,42.2,47.62,Sep 04 2016,IPSOS
AR,31.74,42.42,Sep 09 2016,Google Consumer Surveys
AR,39.49,47.65,Aug 26 2016,IPSOS
AR,27.6,39.6,Sep 09 2016,Google Consumer Surveys
AR,39.83,44.73,Aug 24 2016,IPSOS
AR,23.56,40.99,Sep 09 2016,Google Consumer Surveys
AZ,43,45,Nov 07 2016,Gravis Marketing
AZ,40,45,Nov 03 2016,MaristColl
AZ,45,44,Nov 03 2016,Saguaro Strategies
AZ,45,42,Nov 08 2016,SurveyMonkey
AZ,44,49,Nov 02 2016,CNN/Opinion Research Corp.
AZ,42,44,Oct 30 2016,YouGov
AZ,41,42,Nov 02 2016,The Times-Picayune/Lucid
AZ,43,47,Nov 02 2016,Emerson College
AZ,44,47,Nov 07 2016,Data Orbital
AZ,45,47,Nov 08 2016,Insights West
AZ,45,46,Oct 25 2016,MonmouthU
AZ,40.95,35.97,Nov 07 2016,Google Consumer Surveys
AZ,42.38,47.1,Nov 07 2016,IPSOS
AZ,43.4,37.8,Oct 19 2016,ArizonaStateU
AZ,39,47,Nov 04 2016,Data Orbital
AZ,38.5,36.5,Oct 17 2016,HighGround
AZ,37.8,46.3,Nov 07 2016,YouGov
AZ,42,42,Oct 06 2016,MBQF
AZ,41,45,Nov 01 2016,Data Orbital
AZ,48,46,Oct 27 2016,Saguaro Strategies
AZ,44,42,Oct 06 2016,Emerson College
AZ,45,43,Nov 07 2016,SurveyMonkey
AZ,40,42,Oct 28 2016,Data Orbital
AZ,38,40,Sep 11 2016,MaristColl
AZ,43,46,Sep 01 2016,PPP
AZ,37.89,32.88,Nov 01 2016,Google Consumer Surveys
AZ,33,37,Sep 21 2016,Insights West
AZ,41,41,Oct 20 2016,Data Orbital
AZ,38,45,Aug 24 2016,CNN/Opinion Research Corp.
AZ,43,42,Oct 14 2016,Data Orbital
AZ,43.32,42.1,Oct 29 2016,IPSOS
AZ,38.92,44.56,Oct 15 2016,IPSOS
AZ,42.92,44.58,Nov 03 2016,IPSOS
AZ,40,44,Aug 31 2016,Gravis Marketing
AZ,40,39,Aug 29 2016,MBQF
AZ,39.9,36.8,Sep 13 2016,ArizonaStateU
AZ,39.71,35.6,Oct 27 2016,Google Consumer Surveys
AZ,42,43,Oct 28 2016,SurveyMonkey
AZ,38,40,Sep 26 2016,Data Orbital
AZ,41.3,48.8,Jul 29 2016,Integrated Web Strategy
AZ,44,43,Nov 05 2016,SurveyMonkey
AZ,42,44,Aug 07 2016,YouGov
AZ,41.78,31.4,Oct 21 2016,Google Consumer Surveys
AZ,44,43,Nov 04 2016,SurveyMonkey
AZ,42.22,49.06,Oct 10 2016,IPSOS
AZ,41,44,Oct 18 2016,SurveyMonkey
AZ,43,43,Nov 03 2016,SurveyMonkey
AZ,42,43,Oct 27 2016,SurveyMonkey
AZ,42,43,Nov 02 2016,SurveyMonkey
AZ,43,44,Nov 01 2016,SurveyMonkey
AZ,40.02,30.69,Oct 17 2016,Google Consumer Surveys
AZ,43,43,Oct 31 2016,SurveyMonkey
AZ,45,42,Aug 02 2016,MBQF
AZ,40,44,Jun 27 2016,PPP
AZ,38.24,35.87,Oct 10 2016,Google Consumer Surveys
AZ,39,45,Jun 30 2016,Greenberg Quinlan Rosner (Democracy Corps)
AZ,41,42,Oct 26 2016,SurveyMonkey
AZ,44.13,45.74,Oct 03 2016,IPSOS
AZ,38.76,32.92,Oct 05 2016,Google Consumer Surveys
AZ,41.65,47.86,Sep 26 2016,IPSOS
AZ,37.8,33.82,Sep 28 2016,Google Consumer Surveys
AZ,37,39,Sep 06 2016,SurveyMonkey
AZ,46.5,42.2,Jun 22 2016,MBQF
AZ,39.48,46.11,Sep 16 2016,IPSOS
AZ,37.46,32.1,Sep 22 2016,Google Consumer Surveys
AZ,38,40,May 18 2016,PPP
AZ,39.57,45.89,Sep 10 2016,IPSOS
AZ,33.95,34.56,Sep 14 2016,Google Consumer Surveys
AZ,34.87,34.6,Sep 09 2016,Google Consumer Surveys
AZ,42,35,Apr 25 2016,Behavior Research Center (Rocky Mountain)
AZ,41.38,44.56,Sep 04 2016,IPSOS
AZ,43.18,46.01,Aug 26 2016,IPSOS
AZ,37.2,32.28,Sep 09 2016,Google Consumer Surveys
AZ,39,47.03,Aug 24 2016,IPSOS
AZ,35.06,26.9,Sep 09 2016,Google Consumer Surveys
AZ,38,38,Mar 18 2016,Merrill Poll
AZ,37.14,32.91,Sep 09 2016,Google Consumer Surveys
AZ,42,44,Dec 21 2015,Strategies 360
AZ,42.59,44.59,Oct 22 2016,IPSOS
CA,53,33,Nov 03 2016,YouGov
CA,54,30,Nov 04 2016,Greenberg Quinlan Rosner/American Viewpoint
CA,56,35,Nov 01 2016,SurveyUSA
CA,56,31,Nov 08 2016,SurveyMonkey
CA,54,28,Oct 27 2016,PublicPolicyInstofCalif
CA,58,35,Nov 08 2016,Insights West
CA,47.88,26.4,Nov 07 2016,Google Consumer Surveys
CA,58.85,31.74,Nov 07 2016,IPSOS
CA,56,30,Oct 17 2016,SurveyUSA
CA,51.8,30.4,Nov 07 2016,YouGov
CA,61,25,Oct 30 2016,Sacramento State
CA,54,30,Nov 01 2016,YouGov
CA,56,30,Nov 07 2016,SurveyMonkey
CA,47,31,Sep 22 2016,PublicPolicyInstofCalif
CA,52,31,Sep 13 2016,TulchinResearch
CA,57,30,Sep 21 2016,Insights West
CA,60.4,30.34,Nov 04 2016,IPSOS
CA,50,33,Sep 20 2016,YouGov
CA,49,35,Sep 13 2016,TulchinResearch
CA,65.14,26.16,Oct 29 2016,IPSOS
CA,46.27,26.85,Nov 01 2016,Google Consumer Surveys
CA,63.82,25.62,Oct 22 2016,IPSOS
CA,59.58,30.7,Nov 03 2016,IPSOS
CA,54,31,Oct 28 2016,SurveyMonkey
CA,56,30,Nov 05 2016,SurveyMonkey
CA,47.86,23.83,Oct 27 2016,Google Consumer Surveys
CA,56,29,Nov 04 2016,SurveyMonkey
CA,65.89,22.37,Oct 15 2016,IPSOS
CA,56,29,Nov 03 2016,SurveyMonkey
CA,61.26,27.86,Oct 10 2016,IPSOS
CA,55,30,Nov 02 2016,SurveyMonkey
CA,55,30,Nov 01 2016,SurveyMonkey
CA,47.95,26.85,Oct 21 2016,Google Consumer Surveys
CA,50,26,Jul 07 2016,FieldPoll
CA,55,31,Jun 01 2016,MaristColl
CA,55,30,Oct 31 2016,SurveyMonkey
CA,54,31,Oct 27 2016,SurveyMonkey
CA,59,33,Sep 29 2016,SurveyUSA
CA,53,34,Jun 02 2016,FieldPoll
CA,49,29,Sep 12 2016,SurveyMonkey
CA,63.67,23.74,Oct 03 2016,IPSOS
CA,48.27,26.89,Oct 17 2016,Google Consumer Surveys
CA,54,31,Oct 26 2016,SurveyMonkey
CA,47.55,27.38,Oct 10 2016,Google Consumer Surveys
CA,60.01,28.38,Sep 26 2016,IPSOS
CA,54,33,Jun 17 2016,Greenberg Quinlan Rosner/American Viewpoint
CA,46.59,28.33,Oct 05 2016,Google Consumer Surveys
CA,62.5,24.22,Sep 16 2016,IPSOS
CA,49,28,Sep 06 2016,SurveyMonkey
CA,45.47,30.35,Sep 28 2016,Google Consumer Surveys
CA,59.58,32.19,Sep 10 2016,IPSOS
CA,46.39,28.05,Sep 22 2016,Google Consumer Surveys
CA,62.67,24.2,Sep 04 2016,IPSOS
CA,43.37,26.36,Sep 14 2016,Google Consumer Surveys
CA,48,33,Jun 05 2016,YouGov
CA,63.14,26.06,Aug 24 2016,IPSOS
CA,60.74,25.03,Aug 26 2016,IPSOS
CA,43.85,27.51,Sep 09 2016,Google Consumer Surveys
CA,43.75,26.11,Sep 09 2016,Google Consumer Surveys
CA,40.62,27.65,Sep 09 2016,Google Consumer Surveys
CA,43.63,25.43,Sep 09 2016,Google Consumer Surveys
CA,57,30,Apr 06 2016,Greenberg Quinlan Rosner/American Viewpoint
CA,54,28,Jun 14 2016,SurveyMonkey
CA,57,32,Sep 12 2016,SurveyUSA
CA,45,33,May 31 2016,YouGov
CA,59,31,May 05 2016,FieldPoll
CA,56,34,May 02 2016,SurveyUSA
CA,52,38,May 24 2016,SurveyUSA
CA,60,26,Apr 05 2016,SurveyUSA
CA,46,30,Jul 28 2016,PublicPolicyInstofCalif
CA,49,39,May 26 2016,PublicPolicyInstofCalif
CO,44,43,Nov 07 2016,Gravis Marketing
CO,42,41,Nov 06 2016,Remington
CO,48,43,Nov 04 2016,PPP
CO,43,40,Nov 08 2016,SurveyMonkey
CO,42,39,Oct 30 2016,YouGov
CO,43,38,Nov 04 2016,Keating Research Inc.
CO,44.77,44.33,Nov 04 2016,Trafalgar Group
CO,44,41,Nov 02 2016,Emerson College
CO,44,37,Nov 02 2016,The Times-Picayune/Lucid
CO,39,39,Nov 02 2016,University of Denver
CO,44.1,37.6,Nov 03 2016,Magellan Strategies
CO,45,37,Oct 17 2016,QuinnipiacU
CO,44,34,Nov 02 2016,University of Colorado
CO,47.11,29.95,Nov 07 2016,Google Consumer Surveys
CO,47.71,42.33,Nov 07 2016,IPSOS
CO,40,40,Nov 04 2016,Gravis Marketing
CO,42.1,36.9,Nov 07 2016,YouGov
CO,41,42,Sep 26 2016,CNN/Opinion Research Corp.
CO,49,38,Oct 03 2016,MonmouthU
CO,45,44,Oct 31 2016,Remington
CO,46,40,Sep 29 2016,PPP
CO,40,35,Oct 18 2016,Magellan Strategies
CO,44,33,Oct 03 2016,Keating Research Inc.
CO,44,42,Sep 22 2016,QuinnipiacU
CO,43,39,Nov 07 2016,SurveyMonkey
CO,40,39,Sep 25 2016,YouGov
CO,41,34,Sep 22 2016,FranklinMarshallColl
CO,45,43,Oct 25 2016,Remington
CO,44,39,Oct 15 2016,Gravis Marketing
CO,42.67,27.9,Nov 01 2016,Google Consumer Surveys
CO,38,42,Sep 15 2016,Emerson College
CO,40,40,Oct 08 2016,Gravis Marketing
CO,47.59,42.23,Nov 04 2016,IPSOS
CO,45.51,43.35,Oct 29 2016,IPSOS
CO,41,29,Aug 12 2016,MaristColl
CO,40.48,26.21,Oct 27 2016,Google Consumer Surveys
CO,41,33,Aug 17 2016,QuinnipiacU
CO,45.01,41.24,Oct 22 2016,IPSOS
CO,41,36,Sep 08 2016,Magellan Strategies
CO,37,41,Sep 25 2016,Gravis Marketing
CO,46.61,40.89,Oct 15 2016,IPSOS
CO,37,28,Jul 13 2016,FoxNews
CO,45,38,Oct 28 2016,SurveyMonkey
CO,43,40,Nov 05 2016,SurveyMonkey
CO,39,33,Jul 15 2016,MaristColl
CO,44.08,25.6,Oct 21 2016,Google Consumer Surveys
CO,48,35,Jul 13 2016,MonmouthU
CO,45,38,Jul 12 2016,Harper Polling
CO,44,40,Nov 04 2016,SurveyMonkey
CO,44.77,44.86,Oct 10 2016,IPSOS
CO,44,40,Nov 03 2016,SurveyMonkey
CO,44,37,Oct 18 2016,SurveyMonkey
CO,42.95,23.66,Oct 17 2016,Google Consumer Surveys
CO,43,40,Nov 02 2016,SurveyMonkey
CO,45,38,Oct 27 2016,SurveyMonkey
CO,43,39,Nov 01 2016,SurveyMonkey
CO,44,39,Oct 31 2016,SurveyMonkey
CO,43.25,45.22,Oct 03 2016,IPSOS
CO,41.46,25.52,Oct 10 2016,Google Consumer Surveys
CO,44,38,Oct 26 2016,SurveyMonkey
CO,40,39,Jun 26 2016,YouGov
CO,38.58,28.19,Oct 05 2016,Google Consumer Surveys
CO,42.05,43.82,Sep 26 2016,IPSOS
CO,40.11,43.13,Sep 16 2016,IPSOS
CO,36.67,31.48,Sep 28 2016,Google Consumer Surveys
CO,37,37,Sep 06 2016,SurveyMonkey
CO,40.5,43.29,Sep 10 2016,IPSOS
CO,40.6,28.49,Sep 22 2016,Google Consumer Surveys
CO,44.57,38.55,Sep 04 2016,IPSOS
CO,39,38,Jul 14 2016,Gravis Marketing
CO,36.23,28.93,Sep 14 2016,Google Consumer Surveys
CO,37.36,28.53,Sep 09 2016,Google Consumer Surveys
CO,43.04,39.74,Aug 26 2016,IPSOS
CO,38.94,23.91,Sep 09 2016,Google Consumer Surveys
CO,40.49,23.95,Sep 09 2016,Google Consumer Surveys
CO,42.39,38.74,Aug 24 2016,IPSOS
CO,36.77,27.97,Sep 09 2016,Google Consumer Surveys
CO,49,39,May 31 2016,Keating Research Inc.
CO,49.01,41.11,Nov 03 2016,IPSOS
CO,37,48,Nov 19 2015,QuinnipiacU
CT,52,36,Nov 08 2016,SurveyMonkey
CT,38.62,29.29,Nov 07 2016,Google Consumer Surveys
CT,49.76,39.7,Nov 07 2016,IPSOS
CT,46.6,35.8,Nov 07 2016,YouGov
CT,51,37,Nov 07 2016,SurveyMonkey
CT,50,35,Sep 07 2016,Emerson College
CT,40.48,31.84,Nov 01 2016,Google Consumer Surveys
CT,51.05,36.25,Oct 29 2016,IPSOS
CT,48.95,41.48,Nov 04 2016,IPSOS
CT,43.34,31.95,Oct 27 2016,Google Consumer Surveys
CT,51,37,Nov 05 2016,SurveyMonkey
CT,40.38,33.37,Oct 21 2016,Google Consumer Surveys
CT,52.56,34.83,Oct 22 2016,IPSOS
CT,51,38,Oct 28 2016,SurveyMonkey
CT,52,38,Nov 04 2016,SurveyMonkey
CT,53,36.07,Oct 15 2016,IPSOS
CT,52,38,Nov 03 2016,SurveyMonkey
CT,52.01,34.09,Oct 03 2016,IPSOS
CT,51,38,Nov 02 2016,SurveyMonkey
CT,48.96,27.69,Oct 17 2016,Google Consumer Surveys
CT,51,36,Oct 27 2016,SurveyMonkey
CT,51,39,Nov 01 2016,SurveyMonkey
CT,41,36,Jun 30 2016,QuinnipiacU
CT,51,39,Oct 31 2016,SurveyMonkey
CT,44.26,26.17,Oct 10 2016,Google Consumer Surveys
CT,44.46,26.58,Oct 05 2016,Google Consumer Surveys
CT,50,36,Oct 26 2016,SurveyMonkey
CT,44,33,Sep 06 2016,SurveyMonkey
CT,47.33,37.36,Sep 26 2016,IPSOS
CT,37.53,31.5,Sep 28 2016,Google Consumer Surveys
CT,47.21,37.48,Sep 16 2016,IPSOS
CT,39,31.8,Sep 22 2016,Google Consumer Surveys
CT,45.75,40.14,Sep 10 2016,IPSOS
CT,41.81,26.44,Sep 14 2016,Google Consumer Surveys
CT,38.56,26.41,Sep 09 2016,Google Consumer Surveys
CT,47.04,39.13,Sep 04 2016,IPSOS
CT,40.68,25.54,Sep 09 2016,Google Consumer Surveys
CT,49.91,37.43,Aug 26 2016,IPSOS
CT,43.88,26.51,Sep 09 2016,Google Consumer Surveys
CT,48,40,Apr 24 2016,Emerson College
CT,49.73,36.71,Aug 24 2016,IPSOS
CT,41.81,26.61,Sep 09 2016,Google Consumer Surveys
CT,53.48,35.23,Oct 10 2016,IPSOS
CT,48.11,42.23,Nov 03 2016,IPSOS
DC,85,7,Nov 08 2016,SurveyMonkey
DC,88,7,Nov 07 2016,SurveyMonkey
DC,53.62,10.62,Nov 07 2016,Google Consumer Surveys
DC,79.8,6.8,Nov 07 2016,YouGov
DC,47.91,19.37,Nov 01 2016,Google Consumer Surveys
DC,87,5,Oct 28 2016,SurveyMonkey
DC,61.66,11.14,Oct 27 2016,Google Consumer Surveys
DC,87,6,Nov 05 2016,SurveyMonkey
DC,85,5,Nov 04 2016,SurveyMonkey
DC,87,5,Oct 27 2016,SurveyMonkey
DC,65.81,7.06,Oct 21 2016,Google Consumer Surveys
DC,88,4,Nov 02 2016,SurveyMonkey
DC,87,5,Nov 03 2016,SurveyMonkey
DC,88,4,Nov 01 2016,SurveyMonkey
DC,87,4,Oct 31 2016,SurveyMonkey
DC,58.06,21.25,Oct 17 2016,Google Consumer Surveys
DC,88,5,Oct 26 2016,SurveyMonkey
DC,57.9,15.1,Oct 10 2016,Google Consumer Surveys
DC,62.21,9.8,Oct 05 2016,Google Consumer Surveys
DC,66.53,15.3,Sep 28 2016,Google Consumer Surveys
DC,43.22,28.46,Sep 22 2016,Google Consumer Surveys
DC,38.8,32.39,Sep 14 2016,Google Consumer Surveys
DC,47.85,21.78,Sep 10 2016,Google Consumer Surveys
DC,44.27,25.62,Sep 10 2016,Google Consumer Surveys
DC,54.01,22.16,Sep 10 2016,Google Consumer Surveys
DC,44.16,24.78,Sep 10 2016,Google Consumer Surveys
DE,50,39,Nov 08 2016,SurveyMonkey
DE,49,39,Nov 07 2016,SurveyMonkey
DE,41.91,30.38,Nov 07 2016,Google Consumer Surveys
DE,51,30,Oct 03 2016,University of Delaware
DE,52.03,36.42,Nov 07 2016,IPSOS
DE,50.7,31.6,Nov 07 2016,YouGov
DE,38.21,34.88,Nov 01 2016,Google Consumer Surveys
DE,52,36,Oct 28 2016,SurveyMonkey
DE,47.87,36.17,Oct 29 2016,IPSOS
DE,51,36,Nov 05 2016,SurveyMonkey
DE,34.21,33.26,Oct 27 2016,Google Consumer Surveys
DE,50,36,Nov 04 2016,SurveyMonkey
DE,37.21,28.18,Oct 21 2016,Google Consumer Surveys
DE,44.71,33.84,Nov 04 2016,IPSOS
DE,50,36,Nov 03 2016,SurveyMonkey
DE,50,38,Nov 02 2016,SurveyMonkey
DE,50,38,Nov 01 2016,SurveyMonkey
DE,53,34,Oct 27 2016,SurveyMonkey
DE,51,38,Oct 31 2016,SurveyMonkey
DE,47.83,33.89,Oct 22 2016,IPSOS
DE,41.18,28.45,Oct 17 2016,Google Consumer Surveys
DE,42,32,Jul 27 2016,FairleighDickinsonU
DE,46.96,39.29,Oct 15 2016,IPSOS
DE,40.37,28.34,Oct 10 2016,Google Consumer Surveys
DE,52,34,Oct 26 2016,SurveyMonkey
DE,46.26,35.62,Oct 10 2016,IPSOS
DE,43,33,Sep 06 2016,SurveyMonkey
DE,47.37,18.2,Oct 05 2016,Google Consumer Surveys
DE,43.16,35.28,Oct 03 2016,IPSOS
DE,25.92,23.36,Sep 28 2016,Google Consumer Surveys
DE,40.04,32.95,Sep 26 2016,IPSOS
DE,41.23,30.04,Sep 22 2016,Google Consumer Surveys
DE,43.33,28.07,Sep 16 2016,IPSOS
DE,33.9,28.33,Sep 14 2016,Google Consumer Surveys
DE,37.37,30.62,Sep 09 2016,Google Consumer Surveys
DE,45.64,23.53,Sep 10 2016,IPSOS
DE,44.1,22.13,Aug 24 2016,IPSOS
DE,34.1,31.69,Sep 09 2016,Google Consumer Surveys
DE,35.71,23.01,Sep 09 2016,Google Consumer Surveys
DE,34.47,32.29,Sep 09 2016,Google Consumer Surveys
FL,46,45,Nov 07 2016,QuinnipiacU
FL,45,48,Nov 06 2016,Remington
FL,45,45,Nov 06 2016,YouGov
FL,48,45,Oct 25 2016,SurveyUSA
FL,47,45,Nov 08 2016,SurveyMonkey
FL,49,47,Nov 02 2016,CNN/Opinion Research Corp.
FL,46,45,Nov 07 2016,Gravis Marketing
FL,46.13,49.72,Nov 07 2016,Trafalgar Group
FL,42,46,Oct 30 2016,SienaColl
FL,45,44,Oct 30 2016,MaristColl
FL,43,45,Oct 26 2016,Selzer
FL,48.4,46.4,Nov 07 2016,InsiderAdvantage
FL,43,39,Oct 27 2016,UofNorthFlorida
FL,48,44,Oct 28 2016,PPP
FL,47,45,Nov 07 2016,Rasmussen
FL,50.4,36.95,Oct 28 2016,Saint Leo University
FL,48,40,Nov 01 2016,TargetSmart/William & Mary
FL,44,41,Oct 25 2016,Associated Industries of Florida
FL,42.4,45.7,Oct 27 2016,Dixie Strategies
FL,46,45,Oct 29 2016,Emerson College
FL,46,45,Nov 02 2016,QuinnipiacU
FL,47.66,46.77,Nov 07 2016,IPSOS
FL,45,39,Oct 24 2016,The Times-Picayune/Lucid
FL,36.53,41.36,Nov 07 2016,Google Consumer Surveys
FL,46.2,43.3,Oct 26 2016,Florida Atlantic University
FL,46,42,Oct 21 2016,Cherry Communications
FL,46,43,Oct 23 2016,YouGov
FL,49,46,Nov 03 2016,Gravis Marketing
FL,46,42,Oct 14 2016,PPP
FL,44,42.9,Nov 07 2016,YouGov
FL,46,42,Sep 30 2016,MasonDixon
FL,45,42,Oct 09 2016,MaristColl
FL,44.82,48.68,Nov 02 2016,Trafalgar Group
FL,49.3,45,Nov 03 2016,InsiderAdvantage
FL,41,38,Oct 06 2016,UofNorthFlorida
FL,48,47,Oct 30 2016,Gravis Marketing
FL,48,44,Oct 17 2016,QuinnipiacU
FL,44,45,Oct 06 2016,Emerson College
FL,45,46,Nov 04 2016,Rasmussen
FL,44,45,Sep 22 2016,SuffolkU
FL,44,41,Oct 12 2016,Associated Industries of Florida
FL,46,41,Sep 20 2016,MonmouthU
FL,44,48,Oct 31 2016,Remington
FL,47,46,Nov 01 2016,Rasmussen
FL,45,45,Nov 03 2016,Rasmussen
FL,41,40,Sep 19 2016,SienaColl
FL,48.6,42.9,Oct 13 2016,Florida Atlantic University
FL,46,43,Sep 16 2016,GlobalStrategy
FL,43,46,Oct 27 2016,Rasmussen
FL,46,46,Nov 02 2016,Rasmussen
FL,44,47,Sep 14 2016,CNN/Opinion Research Corp.
FL,42,46,Sep 12 2016,JMC Enterprises
FL,45,43,Sep 29 2016,PPP
FL,47,45,Nov 07 2016,SurveyMonkey
FL,46,46,Oct 25 2016,Remington
FL,46,42,Oct 16 2016,Gravis Marketing
FL,49,45,Oct 21 2016,InsiderAdvantage
FL,43,41,Sep 26 2016,Cherry Communications
FL,47.88,46.89,Nov 04 2016,IPSOS
